1669912378,0.00,0.0
1669912380,0.00,0.0
1669912382,0.00,0.0
1669912384,0.00,0.0
1669912386,0.00,0.0
1669912388,0.00,0.0
1669912390,0.00,0.0
1669912392,0.00,0.0
1669912394,0.00,0.0
1669912396,0.00,0.0
1669912398,0.00,0.0
1669912400,0.00,0.0
1669912402,0.00,0.0
1669912404,0.00,0.0
1669912406,0.00,0.0
1669912408,0.00,0.0
1669912410,0.00,0.0
1669912412,0.00,0.0
1669912414,0.00,0.0
1669912416,0.00,0.0
1669912418,0.00,0.0
1669912420,0.00,0.0
1669912422,0.00,0.0
1669912424,0.00,0.0
1669912426,0.00,0.0
1669912428,0.00,0.0
1669912430,0.00,0.0
1669912432,0.00,0.0
1669912434,0.00,0.0
1669912436,0.00,0.0
1669912438,0.00,0.0
1669912440,0.00,0.0
1669912442,0.00,0.0
1669912444,0.00,0.0
1669912446,0.00,0.0
1669912448,0.00,0.0
1669912450,0.00,0.0
1669912452,0.00,0.0
1669912454,0.00,0.0
1669912456,0.00,0.0
1669912458,0.00,0.0
1669912460,0.00,0.0
1669912462,0.00,0.0
1669912464,0.00,0.0
1669912466,0.00,0.0
1669912468,0.00,0.0
1669912470,0.00,0.0
1669912472,0.00,0.0
1669912474,0.00,0.0
1669912476,0.00,0.0
1669912478,0.00,0.0
1669912480,0.00,0.0
1669912482,0.00,0.0
1669912484,0.00,0.0
1669912486,0.00,0.0
1669912488,0.00,0.0
1669912490,0.00,0.0
1669912492,0.00,0.0
1669912494,0.00,0.0
1669912496,0.00,0.0
1669912498,0.00,0.0
1669912500,0.00,0.0
1669912502,0.00,0.0
1669912504,0.00,0.0
1669912506,0.00,0.0
1669912508,0.00,0.0
1669912510,0.00,0.0
1669912512,0.00,0.0
1669912514,0.00,0.0
1669912516,0.00,0.0
1669912518,0.00,0.0
1669912520,0.00,0.0
1669912522,0.00,0.0
1669912524,0.00,0.0
1669912526,0.00,0.0
1669912528,0.00,0.0
1669912530,0.00,0.0
1669912532,0.00,0.0
1669912534,0.00,0.0
1669912536,0.00,0.0
